timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,,,
2.22906E+11,-2,-1,-1,-1,-1,-1,-3,-3,229,,
2.22906E+11,-2,-1,-2,-1,0,-2,-2,1,230,,
2.22906E+11,-2,0,1,0,-1,0,0,-2,231,,
2.22906E+11,3,2,0,-2,-1,-1,-1,2,232,,
2.22906E+11,-2,-1,0,-1,-1,1,0,-1,233,,
2.22906E+11,-1,-4,-2,-2,0,-1,1,0,234,,
2.22906E+11,0,-2,1,0,-1,-1,-3,-2,235,,
2.22906E+11,-1,1,1,-1,-1,0,-1,-3,236,,
2.22906E+11,-2,-1,-1,-2,-3,-1,-1,-3,237,,
2.22906E+11,0,0,1,-1,-1,-1,0,1,238,,
2.22906E+11,2,0,0,-1,-1,-1,-2,1,239,,
2.22906E+11,1,-1,0,0,-2,-1,1,0,240,,
2.22906E+11,-1,3,0,0,-1,0,-2,2,241,,
2.22906E+11,-2,-3,-3,0,0,-1,-1,-2,242,,
2.22906E+11,-2,-6,-3,-2,0,0,0,1,243,,
2.22906E+11,-2,-1,-1,-2,1,-1,0,-2,244,,
2.22906E+11,-1,-2,2,1,0,-1,-1,0,245,,
2.22906E+11,-3,-1,-1,-2,0,-3,-1,-2,246,,
2.22906E+11,0,-1,-1,0,0,0,0,0,247,,
2.22906E+11,1,1,0,0,-2,-2,0,-1,248,,
2.22906E+11,1,0,-1,-2,-1,-2,0,-1,249,,
2.22906E+11,0,-3,-2,-1,-3,2,-2,2,250,,
2.22906E+11,-2,0,-2,-2,-1,-3,0,0,251,,
2.22906E+11,-1,0,-3,-1,-3,-1,-2,-1,252,,
2.22906E+11,-2,0,-1,0,-1,-1,0,-2,253,,
2.22906E+11,-2,-2,1,-1,-1,-3,1,1,254,,
2.22906E+11,0,0,-1,-2,0,0,-2,-1,255,,
2.22906E+11,-1,-1,-1,-1,-2,-2,-1,-1,256,,
2.22906E+11,1,-1,-3,-1,-1,-1,-1,1,257,,
2.22906E+11,0,1,2,-1,-1,1,-1,-3,258,,
2.22906E+11,-2,0,-2,-1,-1,0,0,-2,259,,
2.22906E+11,0,-1,1,0,0,0,-1,1,260,,
2.22906E+11,1,0,-2,0,-1,0,-1,-1,261,,
2.22906E+11,1,2,0,-1,0,0,-2,0,262,,
2.22906E+11,-3,-9,-3,-1,-1,0,-2,0,263,,
2.22906E+11,0,1,0,0,0,-1,1,-1,264,,
2.22906E+11,-1,-1,-1,-2,-2,-1,-1,-1,265,,
2.22906E+11,1,3,0,1,-1,0,0,-2,266,,
2.22906E+11,-1,1,0,-2,-1,-2,-1,-2,267,,
2.22906E+11,-1,-2,0,-1,0,-1,-1,2,268,,
2.22906E+11,-2,0,-1,-1,-1,0,-1,0,269,,
2.22906E+11,-1,-2,-1,-1,-2,0,-1,-4,270,,
2.22906E+11,-3,-2,-2,-2,-1,-1,0,3,271,,
2.22906E+11,-3,-4,-2,-2,0,-2,-2,-7,272,,
2.22906E+11,-1,1,2,0,0,-1,0,0,273,,
2.22906E+11,-2,0,1,0,0,0,0,0,274,,
2.22906E+11,0,-1,-2,-2,-2,0,0,1,275,,
2.22906E+11,0,0,-1,-1,0,1,1,-2,276,,
2.22906E+11,0,-2,-2,-1,-2,-1,-1,-2,277,,
2.22906E+11,-3,-3,-2,-2,-2,-1,-1,0,278,,
2.22906E+11,4,3,2,0,0,-1,0,2,279,,
2.22906E+11,1,-1,0,-1,0,-3,0,2,280,,
2.22906E+11,0,-1,-3,-2,0,-1,-1,1,281,,
2.22906E+11,-2,-3,-3,-1,-2,-1,-2,-2,282,,
2.22906E+11,0,-1,0,0,-1,-1,-1,-2,283,,
2.22906E+11,0,-1,-2,-2,-2,-1,-1,0,284,,
2.22906E+11,0,-2,-2,0,-1,-2,-1,1,285,,
2.22906E+11,-2,-3,-1,-1,0,-2,-1,-1,286,,
2.22906E+11,-3,-1,1,-1,-2,-2,1,-4,287,,
2.22906E+11,-1,-1,0,-3,-1,0,-1,0,288,,
2.22906E+11,-3,-1,-1,-2,-1,-1,0,-3,289,,
2.22906E+11,1,2,-2,-1,-1,-1,-2,-2,290,,
2.22906E+11,-4,-8,-2,0,-2,-1,-3,-5,291,,
2.22906E+11,-1,2,1,-1,-1,-1,-1,-2,292,,
2.22906E+11,2,0,1,0,-1,-2,-1,-2,293,,
2.22906E+11,0,1,-2,-1,-1,0,-1,0,294,,
2.22906E+11,0,2,0,0,0,0,-1,-1,295,,
2.22906E+11,-2,0,-1,-1,-1,-2,-1,0,296,,
2.22906E+11,0,-1,-1,-2,-1,0,-1,-1,297,,
2.22906E+11,-1,-3,-1,0,-1,-1,-1,-1,298,,
2.22906E+11,-1,0,0,0,0,-1,-1,-2,299,,
2.22906E+11,-2,-3,-2,-1,-1,0,0,-4,300,,
2.22906E+11,-1,2,0,-1,-1,-1,-1,0,301,,
2.22906E+11,1,-1,-3,-1,-1,-2,0,0,302,,
2.22906E+11,0,3,-1,-2,-2,-2,-1,1,303,,
2.22906E+11,2,1,0,-1,-1,-2,-1,1,304,,
2.22906E+11,-3,2,1,0,-1,1,-1,-4,305,,
2.22906E+11,0,-6,-3,-2,-2,0,-2,0,306,,
2.22906E+11,1,-1,-2,-2,-2,0,-1,0,307,,
2.22906E+11,0,-1,0,0,-2,-2,-1,0,308,,
2.22906E+11,-2,-4,-1,-1,0,-1,-2,-1,309,,
2.22906E+11,0,2,-1,0,-2,-1,0,0,310,,
2.22906E+11,-2,1,-2,-2,0,1,-1,-3,311,,
2.22906E+11,-1,0,0,0,0,0,-1,0,312,,
2.22906E+11,-2,-2,0,1,0,0,1,2,313,,
2.22906E+11,-1,-1,-2,0,-2,1,-1,-1,314,,
2.22906E+11,0,-2,-3,-2,-2,-1,-1,-1,315,,
2.22906E+11,-2,-1,-2,-2,-1,0,-2,-1,316,,
2.22906E+11,0,-2,-2,-1,-2,-2,0,1,317,,
2.22906E+11,-1,-1,0,-1,0,-1,-1,2,318,,
2.22906E+11,-2,3,1,1,-1,0,-1,1,319,,
2.22906E+11,2,-1,-2,-2,0,-1,-1,0,320,,
2.22906E+11,0,-2,-1,-1,-1,-2,-2,-2,321,,
2.22906E+11,0,-1,-1,-2,0,1,0,-1,322,,
2.22906E+11,2,2,0,-2,0,0,1,-1,323,,
2.22906E+11,-6,-11,-6,-1,-2,0,0,-1,324,,
2.22906E+11,-1,0,-1,0,0,-1,-2,-1,325,,
2.22906E+11,-1,-1,-1,-2,-1,-1,-2,-1,326,,
2.22906E+11,-2,0,-2,-1,0,-1,-2,0,327,,
2.22906E+11,2,5,0,0,-1,0,0,0,328,,
2.22906E+11,-5,-8,-2,-3,-1,-1,-1,-3,329,,
2.22906E+11,1,1,-1,1,-1,0,-3,1,330,,
2.22906E+11,-1,-4,-3,-3,-3,-2,-1,0,331,,
2.22906E+11,-2,0,0,0,0,0,0,1,332,,
2.22906E+11,1,-1,-3,-1,0,-2,-1,0,333,,
2.22906E+11,-3,0,0,1,1,0,1,0,334,,
2.22906E+11,1,-1,-1,-1,0,1,0,2,335,,
2.22906E+11,-2,1,1,-2,1,-2,-2,-3,336,,
2.22906E+11,-2,0,-1,-1,-5,-1,-2,-1,337,,
2.22906E+11,-2,-1,-2,0,-1,-1,0,-2,338,,
2.22906E+11,1,-1,-1,0,-2,-2,-1,-1,339,,
2.22906E+11,3,0,0,0,-3,-1,-1,2,340,,
2.22906E+11,-5,0,0,0,0,-2,-1,-7,341,,
2.22906E+11,1,-1,0,-1,1,-1,0,-1,342,,
2.22906E+11,-3,-6,-3,-2,-1,-1,-2,-1,343,,
2.22906E+11,3,0,0,0,0,-1,1,1,344,,
2.22906E+11,2,2,0,-1,-1,0,-1,-4,345,,
2.22906E+11,-4,-4,-4,-2,-2,-1,-1,-3,346,,
2.22906E+11,-3,1,0,1,0,-2,-2,-2,347,,
2.22906E+11,-1,0,-2,-1,-1,-1,-1,-1,348,,
2.22906E+11,-1,0,-2,0,0,-1,-1,0,349,,
2.22906E+11,-1,1,0,-3,1,-1,1,-3,350,,
2.22906E+11,-1,1,0,1,-1,-2,-2,-1,351,,
2.22906E+11,-2,-4,-1,-2,-3,0,-2,-3,352,,
2.22906E+11,0,0,-1,0,0,0,0,3,353,,
2.22906E+11,0,-1,-2,-1,-2,-2,-2,0,354,,
2.22906E+11,2,1,4,0,0,-1,2,2,355,,
2.22906E+11,-2,-2,-2,1,-2,-1,-2,0,356,,
2.22906E+11,0,-3,-2,-1,0,1,-1,-1,357,,
2.22906E+11,-1,-3,-1,0,-1,-1,-1,-3,358,,
2.22906E+11,-1,0,-1,-1,-1,-1,0,-1,359,,
2.22906E+11,-2,1,-1,1,-2,0,0,0,360,,
2.22906E+11,0,0,-1,-1,-1,0,-1,2,361,,
2.22906E+11,-3,0,-1,-2,-3,-1,-3,-2,362,,
2.22906E+11,1,-2,-2,-1,-1,2,-1,0,363,,
2.22906E+11,-1,0,-1,-1,-1,-2,0,-2,364,,
2.22906E+11,0,0,1,-1,-2,-1,-1,-2,365,,
2.22906E+11,1,1,-1,0,-1,-1,0,-2,366,,
2.22906E+11,-2,-1,-1,-2,-1,-2,-2,-2,367,,
2.22906E+11,-2,-5,-4,-2,-1,-2,1,-1,368,,
2.22906E+11,0,1,-1,1,0,-1,-1,1,369,,
2.22906E+11,0,0,-1,-1,0,0,0,-4,370,,
2.22906E+11,-1,0,-2,1,-1,-1,0,1,371,,
2.22906E+11,-1,-1,-2,-1,-1,0,0,0,372,,
2.22906E+11,-3,0,0,-1,0,0,-1,1,373,,
2.22906E+11,1,2,4,1,-1,0,0,1,374,,
2.22906E+11,-3,-5,0,2,-1,0,0,-2,375,,
2.22906E+11,0,-3,-2,-1,-1,-1,-2,-2,376,,
2.22906E+11,0,-2,-3,-3,0,-2,-2,0,377,,
2.22906E+11,0,1,-2,0,0,0,-1,1,378,,
2.22906E+11,0,3,0,-1,-1,1,-1,-1,379,,
2.22906E+11,-2,2,1,0,0,0,-1,-2,380,,
2.22906E+11,0,-1,-1,-1,-1,-3,-1,0,381,,
2.22906E+11,-1,-3,-3,-1,0,-1,0,1,382,,
2.22906E+11,0,-3,-3,-1,-3,-2,-2,-4,383,,
2.22906E+11,-2,-3,-1,0,0,0,0,1,384,,
2.22906E+11,-1,-2,-3,-2,-1,0,1,0,385,,
2.22906E+11,3,2,0,-2,-1,-1,0,5,386,,
2.22906E+11,-1,-2,0,0,-1,0,0,-2,387,,
2.22906E+11,0,0,-1,-1,-1,-2,-2,-1,388,,
2.22907E+11,-1,2,1,-1,-2,-2,1,0,389,,
2.22907E+11,-2,-7,-4,0,0,-1,-1,0,390,,
2.22907E+11,-1,1,-1,-1,1,0,1,0,391,,
2.22907E+11,-1,0,0,-3,-2,-1,-1,-6,392,,
2.22907E+11,1,-1,1,2,-1,-1,0,3,393,,
2.22907E+11,-1,3,4,0,-1,0,0,-1,394,,
2.22907E+11,-2,-6,-5,-2,-1,-1,1,0,395,,
2.22907E+11,-2,-5,-1,0,0,-1,0,0,396,,
2.22907E+11,-1,-2,-4,-2,-2,0,-2,-3,397,,
2.22907E+11,-2,-1,-1,0,0,-1,0,-2,398,,
2.22907E+11,1,1,0,1,0,0,-2,-1,399,,
2.22907E+11,2,0,-2,-2,0,0,1,4,400,,
2.22907E+11,-4,-3,-1,-1,0,0,1,-5,401,,
2.22907E+11,-1,0,0,0,-1,-3,-2,-1,402,,
2.22907E+11,2,-2,-1,-3,-1,-1,-1,0,403,,
2.22907E+11,-2,-1,1,-1,-2,-1,-1,-2,404,,
2.22907E+11,1,0,-1,-2,-1,-2,0,1,405,,
2.22907E+11,-2,-1,-2,-2,-1,-2,-1,-3,406,,
2.22907E+11,-1,-1,-1,-1,0,-2,-2,-2,407,,
2.22907E+11,0,0,-2,0,-1,-1,-1,0,408,,
2.22907E+11,0,1,1,-1,0,1,1,0,409,,
2.22907E+11,-1,-2,0,-1,-1,0,-1,0,410,,
2.22907E+11,-2,-1,-2,-2,-2,-2,-1,-1,411,,
2.22907E+11,-1,-3,-3,-1,0,-2,-2,-2,412,,
2.22907E+11,-1,0,1,1,0,0,0,0,413,,
2.22907E+11,-1,-2,-4,-3,-2,0,0,-3,414,,
2.22907E+11,1,3,2,1,-1,-1,0,1,415,,
2.22907E+11,0,3,-1,0,-1,-1,0,0,416,,
2.22907E+11,-1,-2,-3,0,-2,-2,0,-1,417,,
2.22907E+11,0,0,-1,-1,0,0,-1,1,418,,
2.22907E+11,-7,-6,-2,-1,0,0,-2,-7,419,,
2.22907E+11,1,0,-2,-2,0,0,-1,1,420,,
2.22907E+11,-1,0,0,2,-2,-2,-2,-4,421,,
2.22907E+11,-1,-1,-2,0,-2,-2,0,-1,422,,
2.22907E+11,-1,-1,0,-1,-1,0,0,-1,423,,
