timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
222717882478,-109,-40,-2,26,51,12,38,46
222717882478,-23,-14,6,-2,1,-24,-97,-48
222717884081,16,-84,-30,-13,-16,6,42,40
222717884081,37,127,-3,-13,-30,-35,62,81
222717897454,-80,-128,-10,7,37,22,27,-128
222717897454,9,14,15,0,-7,-21,-2,-25
222717899083,23,6,8,37,67,25,43,39
222717899083,4,-30,-28,-58,-109,-15,30,21
222717920001,31,1,-20,-49,-26,16,55,48
222717920001,36,78,19,-1,-28,20,41,42
222717921597,-63,-79,-37,2,4,-27,-88,-128
222717921597,-5,-6,-61,6,23,0,38,37
222717934765,28,53,53,21,43,-3,15,12
222717934765,16,26,58,16,-29,7,-19,27
222717941188,41,34,51,9,-1,4,-65,40
222717941188,12,1,-3,30,27,53,24,46
222717957233,-56,-81,-63,-35,-30,-76,-124,-105
222717957233,4,-15,-24,1,29,-4,16,14
222717963723,-11,2,0,3,3,12,84,59
222717963723,15,-16,-20,-31,-34,-21,-22,10
222717980098,46,50,12,25,30,23,112,74
222717980098,-20,-7,29,17,-12,-14,-16,-44
222717981611,-31,-17,6,14,-1,17,1,-71
222717981611,16,-29,1,-3,26,-2,-62,-3
222717993755,-63,-73,-50,-24,-46,-41,15,-47
222717993755,38,77,39,20,34,12,30,-7
222718002616,-23,-15,22,6,-4,-2,-68,-13
222718002616,14,-19,9,11,45,34,41,27
222718017564,3,20,7,14,9,19,6,-29
222718017564,-31,2,-23,-38,-89,-57,-119,-25
222718019146,31,109,15,4,34,37,96,40
222718019146,-45,-68,33,21,-2,-12,-59,-42
222718040086,33,8,-3,-15,-4,-7,-14,19
222718040086,11,-17,-7,27,52,37,65,23
222718041548,1,-36,-23,-12,-13,-10,-4,17
222718041548,-27,-6,-12,-18,-30,-4,19,14
222718054333,-7,26,2,-7,-4,-25,-84,-70
222718054333,-5,-40,-12,20,37,29,44,11
222718061165,-6,-17,-6,-12,-4,-26,-42,9
222718061165,53,-2,-5,-5,10,-9,75,7
222718077547,32,69,21,18,-6,41,46,92
222718077547,6,-19,22,23,37,23,-4,-11
222718079048,-27,5,0,-19,-18,-40,-54,-84
222718079048,3,16,-35,58,101,29,56,8
222718100015,1,1,30,-56,-107,-27,-72,40
222718100015,-5,-34,-19,-22,2,-12,51,28
222718101633,53,54,44,18,4,-1,9,42
222718101633,-57,-6,1,-2,-2,-13,-40,-60
222718114273,22,53,34,48,65,48,49,23
222718114273,-11,-4,-22,-17,-30,-7,-46,-14
222718121167,-11,-39,-19,-11,-23,-4,76,10
222718121167,32,31,13,-2,-13,3,-24,-13
222718137412,-24,-66,-34,1,3,10,88,4
222718137412,2,36,3,-8,-9,-5,8,-11
222718143704,12,-9,-6,14,16,7,-37,47
222718143704,-25,-8,21,-10,-3,-15,-27,-8
222718160016,24,-14,-57,-21,-21,-12,2,46
222718160016,38,5,14,6,2,14,8,-1
222718161604,-2,51,0,-16,-23,-6,67,-15
222718161604,-41,-30,25,-13,-47,-15,-17,50
222718174411,-15,10,-34,-4,30,-16,-70,-86
222718174411,-49,-55,-29,-1,4,-9,47,-13
222718181195,34,-2,77,45,45,23,29,35
222718181195,18,43,55,14,-42,24,32,40
222718198874,21,38,18,-2,12,-20,31,43
222718198874,-50,-72,-66,-24,7,-6,-65,-32
222718200820,14,-20,-34,-2,20,23,46,-22
222718200820,-40,-17,-15,-24,-40,-18,-6,-93
222718221330,11,-4,-4,7,13,7,13,28
222718221330,24,59,6,-3,1,-17,-26,-13
222718224600,10,-47,6,39,33,29,-4,55
222718224600,-8,37,-18,-42,-28,-8,15,-13
222718243795,-8,-33,2,56,98,35,-23,-23
222718243795,25,34,20,-38,-55,-1,-29,2
222718245418,-21,-24,-39,-48,-31,-32,11,-19
222718245418,27,37,14,31,24,23,-12,-4
222718257405,-36,-58,11,-21,-32,-29,-45,-36
222718257405,20,31,10,40,50,2,-24,44
222718259041,-29,-24,12,14,15,13,15,-53
222718259041,17,-13,-27,-22,-32,-3,28,40
222718279779,11,28,29,3,3,7,1,8
222718279779,54,87,55,41,25,5,-34,41
222718286213,-92,-95,-51,-27,-37,-12,-8,-95
222718286213,17,-17,-30,-9,18,-11,-6,66
222718293699,6,15,-1,-13,-16,5,28,-3
222718293699,2,-1,-18,-6,1,-30,17,-5
222718302612,45,52,20,16,-9,50,81,64
222718302612,-73,-41,-19,-33,-12,-24,-88,-125
222718317572,-12,-10,-5,-13,-17,-37,-51,-22
222718317572,8,25,51,46,78,37,68,16
222718319108,-13,-4,-80,-44,-62,-24,-34,-7
222718319108,-4,-49,18,-1,10,-2,50,23
222718339990,21,52,0,3,-47,-8,-4,46
222718339990,-30,-68,-109,-60,1,27,56,-37
222718341578,17,48,127,51,39,-28,-113,-63
222718341578,23,39,26,38,33,31,-49,72
222718353714,0,-43,-28,-3,-6,-6,79,-10
222718353714,-8,30,9,20,-4,39,72,64
222718362599,-30,-59,-52,-24,-3,-52,-37,-16
222718362599,-51,-76,-46,-41,-32,-23,32,-6
222718376657,21,42,8,16,36,11,38,26
222718376657,-31,-60,-14,-14,-28,7,13,-76
222718385085,61,95,8,0,-24,-6,33,105
222718385085,-22,-21,7,17,30,9,-24,-12
222718400600,3,-35,-9,-32,-4,-13,51,9
222718400600,-14,-7,-10,-36,-47,-25,-48,-28
222718402239,26,1,-4,-22,-21,18,10,22
222718402239,0,-10,-23,34,22,-7,11,-13
